index,Playing Date,Link,Competition,Season,Stage,Match Url
1,"February 23, 2010",https://footballia.net/matches/vfb-stuttgart-fc-barcelona,Champions League,2009-2010,"Round of 16, 1st leg",https://footballia.net/uploads/video/source_file/17442/2009-10_Stuttgart_-_Bar_a.mp4	
2,"February 28, 2010",https://footballia.net/matches/fc-barcelona-malaga-cf-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 24,http://94.130.16.97/uploads/video/source_file/18169/barmal2010.mp4	
3,"March 14, 2010",https://footballia.net/matches/fc-barcelona-valencia-cf-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 26,https://footballia.net/uploads/video/source_file/997/2009-10_Bar_a_-_Valencia.mp4	
4,"March 17, 2010",https://footballia.net/matches/fc-barcelona-vfb-stuttgart,Champions League,2009-2010,"Round of 16, 2nd leg",https://footballia.net/uploads/video/source_file/998/2009-10_Bar_a_-_Stuttgart.mp4	
5,"March 21, 2010",https://footballia.net/matches/real-zaragoza-fc-barcelona-liga-1-division,Liga 1ª División,2009-2010,Jornada 27,https://footballia.net/uploads/video/source_file/999/2009-10_Zaragoza_-_Bar_a.mp4	
6,"March 31, 2010",https://footballia.net/matches/arsenal-fc-fc-barcelona-champions-league,Champions League,2009-2010,"Quarter-finals, 1st leg",https://footballia.net/uploads/video/source_file/1000/2009-10_Arsenal_-_Bar_a.mp4	
7,"April 03, 2010",https://footballia.net/matches/fc-barcelona-athletic-de-bilbao-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 30,https://footballia.net/uploads/video/source_file/4560/2009-10_Bar_a_-_Ath._Bilbao.mp4	
8,"April 06, 2010",https://footballia.net/matches/fc-barcelona-arsenal-fc-champions-league,Champions League,2009-2010,"Quarter-finals, 2nd leg",https://footballia.net/uploads/video/source_file/1001/2009-10_Bar_a_-_Arsenal.mp4	
9,"April 10, 2010",https://footballia.net/matches/real-madrid-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 31,https://footballia.net/uploads/video/source_file/1002/2009-10_R._Madrid_-_Bar_a.mp4	
10,"April 14, 2010",https://footballia.net/matches/fc-barcelona-deportivo-de-la-coruna-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 32,https://footballia.net/uploads/video/source_file/4724/2009-10_Bar_a_-_Deportivo.mp4	
11,"April 17, 2010",https://footballia.net/matches/rcd-espanyol-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 33,https://footballia.net/uploads/video/source_file/4138/2010EspBar1st.mp4	https://footballia.net/uploads/video/source_file/4139/2010EspBar2nd.mp4
12,"April 20, 2010",https://footballia.net/matches/fc-internazionale-fc-barcelona,Champions League,2009-2010,"Semi-final, 1st leg",https://footballia.net/uploads/video/source_file/4368/2010IntBar1st.mp4	https://footballia.net/uploads/video/source_file/4369/2010IntBar2nd.mp4
13,"April 28, 2010",https://footballia.net/matches/fc-barcelona-fc-internazionale-champions-league-2009-2010,Champions League,2009-2010,"Semi-final, 2nd leg",https://footballia.net/uploads/video/source_file/1003/2009-10_Bar_a_-_Inter__Semis_.mp4	
14,"May 01, 2010",https://footballia.net/matches/villarreal-cf-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 35,https://footballia.net/uploads/video/source_file/1005/2009-10_Villarreal_-_Bar_a.mp4	
15,"May 04, 2010",https://footballia.net/matches/fc-barcelona-cd-tenerife-liga-1-division,Liga 1ª División,2009-2010,Jornada 36,https://footballia.net/uploads/video/source_file/4426/2010BarTen1st.mp4	https://footballia.net/uploads/video/source_file/4427/2010BarTen2nd.mp4
16,"May 08, 2010",https://footballia.net/matches/sevilla-fc-fc-barcelona-liga-1-division-2009-2010,Liga 1ª División,2009-2010,Jornada 37,https://footballia.net/uploads/video/source_file/1006/2009-10_Sevilla_-_Bar_a.mp4	
17,"May 16, 2010",https://footballia.net/matches/fc-barcelona-real-valladolid-liga-1-division,Liga 1ª División,2009-2010,Jornada 38,https://footballia.net/uploads/video/source_file/3065/2009-10_Bar_a_-_Valladolid.mp4	
18,"August 14, 2010",https://footballia.net/matches/sevilla-fc-fc-barcelona-supercopa-2010,Supercopa,2010,"Final, ida",https://footballia.net/uploads/video/source_file/11259/2010SevBarSC.mp4	
19,"August 21, 2010",https://footballia.net/matches/fc-barcelona-sevilla-fc-supercopa,Supercopa,2010,"Final, vuelta",https://footballia.net/uploads/video/source_file/1015/2010-11_Bar_a_-_Sevilla__Supercopa_.mp4	
20,"August 29, 2010",https://footballia.net/matches/racing-de-santander-fc-barcelona-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 1,https://footballia.net/uploads/video/source_file/8861/Racing_Santander_0-3_FC_Barcelona_La_Liga_2010-2011_1st_Half_youtube.com_.mp4	https://footballia.net/uploads/video/source_file/8864/Racing_Santander_0-3_FC_Barcelona_La_Liga_2010-2011_2nd_Half_youtube.com_.mp4
21,"September 11, 2010",https://footballia.net/matches/fc-barcelona-hercules-cf-liga-1-division,Liga 1ª División,2010-2011,Jornada 2,https://footballia.net/uploads/video/source_file/3929/2010BarHer1st.mp4	https://footballia.net/uploads/video/source_file/3930/2010BarHer2nd.mp4
22,"September 14, 2010",https://footballia.net/matches/fc-barcelona-panathinaikos-fc-champions-league,Champions League,2010-2011,"Group stage, matchday 1",https://footballia.net/uploads/video/source_file/3603/2010-11_Bar_a_-_Panathinaikos.mp4	
23,"September 19, 2010",https://footballia.net/matches/atletico-de-madrid-fc-barcelona-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 3,https://footballia.net/uploads/video/source_file/1016/2010-11_At._Madrid_-_Bar_a.mp4	
24,"September 25, 2010",https://footballia.net/matches/athletic-de-bilbao-fc-barcelona-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 5,https://footballia.net/uploads/video/source_file/4768/2010-11_Ath._Bilbao_-_Bar_a.mp4	
25,"October 16, 2010",https://footballia.net/matches/fc-barcelona-valencia-cf-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 7,https://footballia.net/uploads/video/source_file/1020/2010-11_Bar_a_-_Valencia.mp4	
26,"October 20, 2010",https://footballia.net/matches/fc-barcelona-fc-kobenhavn,Champions League,2010-2011,"Group stage, matchday 3",https://footballia.net/uploads/video/source_file/13447/barcelona-cop.mp4	
27,"October 30, 2010",https://footballia.net/matches/fc-barcelona-sevilla-fc-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 9,https://footballia.net/uploads/video/source_file/1021/2010-11_Bar_a_-_Sevilla.mp4	
28,"November 02, 2010",https://footballia.net/matches/fc-kobenhavn-fc-barcelona,Champions League,2010-2011,"Group stage, matchday 4",http://94.130.16.97/uploads/video/source_file/19792/41537279.mp4	
29,"November 07, 2010",https://footballia.net/matches/getafe-cf-fc-barcelona-liga-1-division,Liga 1ª División,2010-2011,Jornada 10,https://footballia.net/uploads/video/source_file/4895/2010-11_Getafe_-_Bar_a.mp4	
30,"November 13, 2010",https://footballia.net/matches/fc-barcelona-villarreal-cf-liga-1-division,Liga 1ª División,2010-2011,Jornada 11,https://footballia.net/uploads/video/source_file/1022/2010-11_Bar_a_-_Villarreal.mp4	
31,"November 20, 2010",https://footballia.net/matches/ud-almeria-fc-barcelona,Liga 1ª División,2010-2011,Jornada 12,https://footballia.net/uploads/video/source_file/4997/2010-11_Almer_a_-_Bar_a.mp4	
32,"November 24, 2010",https://footballia.net/matches/panathinaikos-fc-fc-barcelona,Champions League,2010-2011,"Group stage, matchday 5",https://footballia.net/uploads/video/source_file/9629/2010-11_Panathinaikos_-_Bar_a.mp4	
33,"November 29, 2010",https://footballia.net/matches/fc-barcelona-real-madrid-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 13,https://footballia.net/uploads/video/source_file/1025/2010-11_Bar_a_-_R._Madrid.mp4	
34,"December 04, 2010",https://footballia.net/matches/ca-osasuna-fc-barcelona-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 14,https://footballia.net/uploads/video/source_file/16927/2010-11_Osasuna_-_Bar_a.mp4	
35,"December 12, 2010",https://footballia.net/matches/fc-barcelona-real-sociedad-7f501021-5d1e-4bf8-b692-f03a17fb4490,Liga 1ª División,2010-2011,Jornada 15,https://footballia.net/uploads/video/source_file/8241/2010-11_Bar_a_-_R._Sociedad.mp4	
36,"December 18, 2010",https://footballia.net/matches/rcd-espanyol-fc-barcelona-liga-1-division,Liga 1ª División,2010-2011,Jornada 16,https://footballia.net/uploads/video/source_file/1026/2010-11_Espanyol_-_Bar_a.mp4	
37,"January 08, 2011",https://footballia.net/matches/deportivo-de-la-coruna-fc-barcelona-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 18,https://footballia.net/uploads/video/source_file/9813/2010-11_Deportivo_-_Bar_a.mp4	
38,"January 12, 2011",https://footballia.net/matches/fc-barcelona-real-betis-copa-del-rey,Copa del Rey,2010-2011,"Cuartos de final, ida",https://footballia.net/uploads/video/source_file/12187/2010-11_Bar_a_-_Betis__Copa_.mp4	
39,"January 16, 2011",https://footballia.net/matches/fc-barcelona-malaga-cf-liga-1-division-2010-2011,Liga 1ª División,2010-2011,Jornada 19,https://footballia.net/uploads/video/source_file/10897/2010-11_Bar_a_-_M_laga.mp4	
40,"January 19, 2011",https://footballia.net/matches/real-betis-fc-barcelona-copa-del-rey,Copa del Rey,2010-2011,"Cuartos de final, vuelta",https://footballia.net/uploads/video/source_file/10095/2011BetBarCR1a.mp4	https://footballia.net/uploads/video/source_file/10096/2011BetBarCR2a.mp4
